COURSE PREFIX,COURSE NUMBER,NAME,CREDITS,DESCRIPTION,PREREQUISITE,RESTRICTION,FORMERLY NAMED,RECOMMENDED,CREDIT ONLY GRANTED FOR,REPEATABLE TO,CROSS-LISTED,COREQUISITE
CMSC,CMSC131,Object-Oriented Programming I,4,Introduction to programming and computer science. Emphasizes understanding and implementation of applications using object-oriented techniques. Develops skills such as program design and testing as well as implementation of programs using a graphical IDE. Programming done in Java.,,,,,"CMSC131, CMSC133 or CMSC141",,,MATH140
CMSC,CMSC132,Object-Oriented Programming II,4,"Introduction to use of computers to solve problems using software engineering principles. Design, build, test, and debug medium -size software systems and learn to use relevant tools. Use object-oriented methods to create effective and efficient problem solutions. Use and implement application programming interfaces (APIs). Programming done in Java.",Minimum grade of C- in CMSC131; or must have earned a score of 5 on the A Java AP exam; or must have earned a satisfactory score on the departmental placement exam; and minimum grade of C- in MATH140,,,,CMSC132 or CMSC142,,,
CMSC,CMSC198,Special Topics in Computer Science for Non-Majors,1-4,A course designed to allow non-computer science majors and non-computer engineering majors to pursue a specialized topic or project.,,Must not be in Computer Science program,,,,6 credits if content differs,,
CMSC,CMSC216,Introduction to Computer Systems,4,"Introduction to the interaction between user programs and the operating system/hardware. Major topics include C programming, introductory systems programming, and assembly language. Other concepts covered include UNIX, machine data representation, thread management, optimization, and virtual memory. Programming is done in the Linux Environment.",Minimum grade of C- in CMSC132; and minimum grade of C- in MATH141,Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permission of CMSC - Computer Science department,,,,,,
CMSC,CMSC250,Discrete Structures,4,"Fundamental mathematical concepts related to computer science, including finite and infinite sets, relations, functions, and propositional logic. Introduction to other techniques, modeling and solving problems in computer science. Introduction to permutations, combinations, graphs, and trees with selected applications.",Minimum grade of C- in CMSC131; and minimum grade of C- in MATH141,Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permissions of CMSC - Computer Science department,,,,,,
CMSC,CMSC298,Special Topics in Computer Science,1-4,A course designed to allow a lower level student to pursue a specialized topic or project.,,Permission of CMNS-Computer Science department,,,,6 credits if content differs,,
CMSC,CMSC320,Introduction to Data Science,3,"An introduction to the data science pipeline, i.e., the end-to-end process of going from unstructured, messy data to knowledge and actionable insights. Provides a broad overview of several topics including statistical data analysis, basic data mining and machine learning algorithms, large-scale data management, cloud computing, and information visualization.",Minimum grade of C- in CMSC216 and CMSC250,Permission of CMNS-Computer Science department,,,"CMSC320, DATA320 or STAT426",,,
CMSC,CMSC330,Organization of Programming Languages,3,"A study of programming languages, including their syntax, semantics, and implementation. Several different models of languages are discussed, including dynamic, scripting (e.g., Ruby, Python) functional (e.g., OCaml, Haskell, Scheme), and memory safe systems programming (e.g., Rust). Explores language features such as formal syntax, scoping and binding of variables, higher-order programming, typing, and type polymorphism. Introduces finite automata, context free grammar, parsing, lambda calculus, and basics of security attacks and software security.",Minimum grade of C- in CMSC250 and CMSC216,Must be in a major within the CMNS-Computer Science department; or must be in the Computer Science Minor program; or must be in Engineering: Computer program; and Permission of CMSC - Computer Science department,,,,,,
CMSC,CMSC335,Web Application Development with JavaScript,3,"Provides an introduction to modern ways of developing Web Applications/Services using JavaScript for both front-end and back-end. The course covers topics on fundamental JavaScript language constructs, server-side JavaScript, back-end data persistence, and client-side JavaScript to build Web Applications that interact with Web services and back-end databases.",Minimum grade of C- in CMSC216 and CMSC250,Permission of CMNS-Computer Science Department,,,CMSC389N or CMSC335,,,
CMSC,CMSC351,Algorithms,3,"A systematic study of the complexity of some elementary algorithms related to sorting, graphs and trees, and combinatorics. Algorithms are analyzed using mathematical techniques to solve recurrences and summations.",Minimum grade of C- in CMSC250 and CMSC216,Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permission from the CMSC - Computer Science department,,,,,,
CMSC,CMSC388,Special Topics in Computer Science,1-3,Seminar courses that allow students to pursue new and emerging areas of Computer Science.,,Permission of CMNS-Computer Science department,,,,6 credits if content differs,,
CMSC,CMSC389,Special Topics in Computer Science,1-3,Seminar courses that allow students to pursue new and emerging areas of Computer Science; course may be used as electives for the undergraduate degree and minor.,,,,,,6 credits if content differs,,
CMSC,CMSC390,Honors Paper,3,Special study or research directed toward preparation of honors paper.,,Must be admitted to the Computer Science Honors Program,,,,,,
CMSC,CMSC395,Teaching Techniques for Computer Science,1,"This course will assure that teaching assistants become better skilled at applying effective teaching practices that improve the classroom environment while learning methods to implement mechanisms to improve diversity and inclusion. Legal and ethical aspects of the role will also be considered. Students in the class will be currently working as a teaching assistant and, therefore, be able to apply what they are learning immediately in their own context.",,Students must be hired as a teaching assistant in the Computer Science Department for the semester they are registered for the course; and permission of the Computer Science Department,,,,,,
