COURSE PREFIX,COURSE NUMBER,NAME,CREDITS,DESCRIPTION,PREREQUISITE,RESTRICTION,FORMERLY NAMED,RECOMMENDED,CREDIT ONLY GRANTED FOR,REPEATABLE TO,CROSS-LISTED,COREQUISITE
AASP,AASP100,Introduction to African American Studies,3,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",,,,,,,,
AASP,AASP101,Public Policy and the Black Community,3,"The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.",,,,,,,,
AASP,AASP187,"The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial Complex",3,"Students will examine the birth of the racial caste system following the abolition of slavery, the parallels between the racial hierarchy of the Jim Crow system and contemporary mass incarceration, and the rise of the prison industrial complex as a multi-billon business which thrives on the oppression of low-income populations and poor communities of color.",,,,AASP100,,,,
AASP,AASP200,African Civilization,3,A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.,,,,,,,,
AASP,AASP202,Black Culture in the United States,3,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",,,,,,,,
AASP,AASP210,Intro to Research Design and Analysis in African American Studies,3,"Introduces students to quantitative and qualitative research methods used in social science with a focus on Black populations and African American Studies Research. Uses practical exercises, such as class surveys and mock focus groups, to examine fundamental concepts of the research process from conceptualization of research questions to interpretation of data and research articles. The course is designed for undergraduate students with little or no background knowledge in social science research methods.",,,,,,,,
AASP,AASP211,Get Out: The Sunken Place of Race Relations in the Post-Racial Era,3,"Prevailing thought suggests that we live in an era that is post-racial, particularly after the election of Barack Obama. Media often serves to drive our assessment of where our nation stands on issues like race, gender and sexuality. This course uses the film Get Out to delve into the production, evolution and significance of race in present day America. The course will engage multiple forms of media to investigate life in ""Post-Racial"" America, including but not limited to the role of stereotypes, interracial relationships, police-community relations, etc.",,,,,AASP298G or AASP211,,,
AASP,AASP230,Social (In)Justice and African-American Health and Well-Being,3,"African Americans suffer worse outcomes than non-Hispanic whites on nearly every health measure and outcomes that link to overall well-being like depressive symptoms or homicides. Health disparities are experienced by other underrepresented minority groups, but because of the unique historic and current experiences of African Americans, the determinants and solutions to African American health disparities are unique. The premise of this course is that African American health disparities are due to social injustices perpetuated on the institutional level that have permeated the lived experiences of African Americans leading to racial disparities in health and well-being. As such, the solutions on the both policy, and community, level must have a social justice approach.",,,,,,,,
AASP,AASP255,"African-American History, 1865 - Present",3,"An introductory course in the African-American experience in the United States from 1865 to the present. Topics include the aftermath of the Civil War on US race relations, the rise of segregation, northern migration, World War I and II, Civil Rights Movements, and the Black Power Movement.Cross-listed with: HIST255.",,,,,"HIST255, AASP255 or AASP298A",,,
AASP,AASP258,Special Topics in Study Abroad I,1-6,Special topics course taken as part of an approved study abroad program.,,,,,,15 credits if content differs,,
AASP,AASP260,Africa in World Politics,3,"Introduction to the politics of Africa, especially Sub-Saharan Africa, on the world stage from the colonial period era to recent push towards democracy in Africa and the rise of religious extremism. It also engages such themes as culture, religion and progress, dictatorship, former colonial powers and international influence, etc.",,,,,,,,
AASP,AASP263,Introduction to Black Women's Studies,3,"Interdisciplinary exploration of Black women, culture and society in the United States. Drawn primarily from the social sciences and history with complementary material from literature and the arts.Cross-listed with: WGSS263.",,,,,"WMST263, AASP298I, WGSS263 or AASP263",,,
AASP,AASP264,Quare/Queer Contentions: Exploration of Sexualities in the Black Community,3,"Centering the subjectivities of queer people of color generally and more specifically, Black people (as the word ""quare"" invites us to do), Quare/Queer Contentions takes up key moments within the history of the Black community and asks us to consider the work and presence of LGBTQ people in these moments. The course also contends with the everyday experiences of LGBTQ subjects in the Black community. Quare/Queer Contentions, therefore, interrogates the material realities of Black queer people in the context of family, religion, cultural/creative work, among others. Interdisciplinary in orientation, the course will employ primary and secondary texts, film, art, autobiographical narratives and policy data.Cross-listed with: LGBT264, WGSS264.",,,,,"LGBT264, AASP264, WMST264 or WGSS264",,,
AASP,AASP265,Constructions of Manhood and Womanhood in the Black Community,3,Investigates the ways that African Americans are represented and constructed in public and private spheres and explores the social constructions and representations of Black manhood and womanhood from various disciplinary perspectives.Cross-listed with: WGSS265.,,,,,"WMST265, AASP298B, WGSS265 or AASP265",,,
AASP,AASP274,Creative Writing Through The Eyes of African Americans: A Beginning Workshop,3,"Introduction to theory and practice of writing fiction, drama and poetry, with an emphasis on African American literary models. Critical reading, exercises and workshop discussions with continual reference to modeling, drafting, and revising as necessary stages in a creative process.",,"Must not have completed ENGL271, ENGL274, ENGL294,or AASP274.",,,ENGL274 or AASP274,,ENGL274,
