COURSE NUMBER,COURSE TITLE,MINIMUM CREDITS,MAXIMUM CREDITS,GRADING METHOD,SECTION ID,INSTRUCTOR,TOTAL SEATS,OPEN SEATS,WAITLIST COUNT,LECTURE TIME,DISCUSSION TIME,LAB TIME,UNSPECIFIED TIME MESSAGE,HAS LECTURE,HAS DISCUSSION,HAS LAB,IS NORMAL,IS BLENDED (NORMAL AND ONLINE),IS ONLINE,SPECIAL RESTRICTION,PREREQUISITE,COREQUISITE,RESTRICTION,CREDIT ONLY GRANTED FOR,FORMERLY,RECOMMENDED,CROSS-LISTED WITH,DESCRIPTION
AAPS380,Fearless First: Negotiating the Hidden Curriculum in Higher Education and Other Societal Institutions,2,2,"Reg, P-F, Aud",0101,Sharon Vanwright,25,24,0,W 4:00pm-5:45pm,,,Class time/details on ELMS,1,0,0,1,1,1,,,,Permission of Academic Achievement Programs,,,,,"This course examines the research and theory about first-generation college students and complicates the discourse around identity and experiences as a first-generation college student and the efforts made to expand access to higher education and major U. S. institutions. Moreover, the course will encourage students to use their strengths and cultural wealth, assets and values, along with introducing and expanding known cultural and social capital to successfully negotiate these institutional environments. Students who identify as first-generation are strongly encouraged to enroll."
AASP100,Introduction to African American Studies,3,3,"Reg, P-F, Aud",0101,Shane Walsh,21,0,0,MWF 10:00am-10:50am,,,,1,0,0,1,0,0,,,,,,,,,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP100,Introduction to African American Studies,3,3,"Reg, P-F, Aud",0201,Shane Walsh,21,0,0,MWF 12:00pm-12:50pm,,,,1,0,0,1,0,0,,,,,,,,,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP100,Introduction to African American Studies,3,3,"Reg, P-F, Aud",0301,Shane Walsh,21,0,0,MWF 2:00pm-2:50pm,,,,1,0,0,1,0,0,,,,,,,,,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP100,Introduction to African American Studies,3,3,"Reg, P-F, Aud",0401,Jason Nichols,18,0,0,TuTh 12:30pm-1:45pm,,,,1,0,0,1,0,0,,,,,,,,,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP100,Introduction to African American Studies,3,3,"Reg, P-F, Aud",0501,Jason Nichols,21,0,0,TuTh 11:00am-12:15pm,,,,1,0,0,1,0,0,,,,,,,,,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP100,Introduction to African American Studies,3,3,"Reg, P-F, Aud",0601,George Kintiba,21,11,0,TuTh 2:00pm-3:15pm,,,,1,0,0,1,0,0,,,,,,,,,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP100H,Introduction to African American Studies,3,3,"Reg, P-F, Aud",0101,Jason Nichols,5,5,0,TuTh 12:30pm-1:45pm,,,,1,0,0,1,0,0,,,,,,,,,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP101,Public Policy and the Black Community,3,3,"Reg, P-F",0101,Chinyere Osuji,22,2,0,TuTh 11:00am-12:15pm,,,,1,0,0,0,0,1,,,,,,AASP300,,,"The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era."
AASP200,African Civilization,3,3,"Reg, P-F, Aud",0101,George Kintiba,40,20,0,TuTh 3:30pm-4:45pm,,,,1,0,0,1,0,0,,,,,,,,,A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.
